Serie,Temporada,Episodio,Titulo,Tipo,Data,Dia,Mes,Ano,Dia Semana,Genero,Data_dia,Feriado
Dentro da Mente de um Gato,,,,Filme,2022-08-23,23,Agosto,2022,Terça-feira,Documentário,2022-08-23,False
A Estrela de Belém,,,,Filme,2022-08-05,5,Agosto,2022,Sexta-feira,Infantil,2022-08-05,False
La Bamba,,,,Filme,2022-07-24,24,Julho,2022,Domingo,Drama,2022-07-24,False
Arremesso Final,Episódio 3,,,Série,2022-07-17,17,Julho,2022,Domingo,Documentário,2022-07-17,False
Arremesso Final,Episódio 2,,,Série,2022-07-17,17,Julho,2022,Domingo,Documentário,2022-07-17,False
Arremesso Final,Episódio 1,,,Série,2022-07-17,17,Julho,2022,Domingo,Documentário,2022-07-17,False
Arremesso Final,Episódio 4,,,Série,2022-07-17,17,Julho,2022,Domingo,Documentário,2022-07-17,False
Stranger Things,Stranger Things 4,Capítulo um,O Clube Hellfire,Série,2022-07-08,8,Julho,2022,Sexta-feira,Suspense,2022-07-08,False
Stranger Things,Capítulo um,O desaparecimento de Will Byers,,Série,2022-07-08,8,Julho,2022,Sexta-feira,Suspense,2022-07-08,False
Arremessando Alto,,,,Filme,2022-07-02,2,Julho,2022,Sábado,Drama,2022-07-02,False
Cobra Kai,Temporada 3,Rei Cobra,,Série,2022-07-02,2,Julho,2022,Sábado,Ação,2022-07-02,False
O Poder e a Lei,Temporada 1,Doze lêmingues em uma caixa,,Série,2022-06-17,17,Junho,2022,Sexta-feira,Drama,2022-06-17,False
O Poder e a Lei,Temporada 1,Teoria do caos,,Série,2022-06-17,17,Junho,2022,Sexta-feira,Drama,2022-06-17,False
O Poder e a Lei,Temporada 1,Ímpeto,,Série,2022-06-17,17,Junho,2022,Sexta-feira,Drama,2022-06-17,False
O Poder e a Lei,Temporada 1,A bala mágica,,Série,2022-06-17,17,Junho,2022,Sexta-feira,Drama,2022-06-17,False
Segunda Guerra em Cores,Caminho para a Vitória,Batalha de Kursk,,Série,2022-06-12,12,Junho,2022,Domingo,Documentário,2022-06-12,False
Segunda Guerra em Cores,Caminho para a Vitória,Ocupação do Norte da África,,Série,2022-06-12,12,Junho,2022,Domingo,Documentário,2022-06-12,False
Segunda Guerra em Cores,Caminho para a Vitória,Batalha do Atlântico,,Série,2022-06-12,12,Junho,2022,Domingo,Documentário,2022-06-12,False
Segunda Guerra em Cores,Caminho para a Vitória,Dunquerque,,Série,2022-06-12,12,Junho,2022,Domingo,Documentário,2022-06-12,False
O Poder e a Lei,Temporada 1,De volta à montaria,,Série,2022-06-05,5,Junho,2022,Domingo,Drama,2022-06-05,False
O Soldado que Não Existiu,,,,Filme,2022-05-14,14,Maio,2022,Sábado,Drama,2022-05-14,False
Cobra Kai,Temporada 3,Miyagi-Do,,Série,2022-05-14,14,Maio,2022,Sábado,Ação,2022-05-14,False
Cirurgiões Inovadores,Cérebro sagrado,,,Série,2022-05-08,8,Maio,2022,Domingo,Documentário,2022-05-08,False
Cirurgiões Inovadores,Salvando a vida antes do nascimento,,,Série,2022-05-08,8,Maio,2022,Domingo,Documentário,2022-05-08,False
3 Tonelada$,Assalto ao Banco Central,Dinheiro Maldito,,Série,2022-05-08,8,Maio,2022,Domingo,Documentário,2022-05-08,False
Cobra Kai,Temporada 3,O caminho certo,,Série,2022-05-08,8,Maio,2022,Domingo,Ação,2022-05-08,False
Cobra Kai,Temporada 3,Vai ter que pagar,,Série,2022-05-08,8,Maio,2022,Domingo,Ação,2022-05-08,False
Cobra Kai,Temporada 3,Treinamento ou dom inato?,,Série,2022-05-07,7,Maio,2022,Sábado,Ação,2022-05-07,False
Cobra Kai,Temporada 3,Consequências,,Série,2022-05-07,7,Maio,2022,Sábado,Ação,2022-05-07,False
Cobra Kai,Temporada 2,Sem compaixão,,Série,2022-05-07,7,Maio,2022,Sábado,Ação,2022-05-07,False
Cobra Kai,Temporada 2,Polvo,,Série,2022-04-29,29,Abril,2022,Sexta-feira,Ação,2022-04-29,False
Cobra Kai,Temporada 2,A vez do amor,,Série,2022-04-29,29,Abril,2022,Sexta-feira,Ação,2022-04-29,False
Cobra Kai,Temporada 2,Trégua,,Série,2022-04-29,29,Abril,2022,Sexta-feira,Ação,2022-04-29,False
Cobra Kai,Temporada 2,Vire à direita,,Série,2022-04-29,29,Abril,2022,Sexta-feira,Ação,2022-04-29,False
Winter on Fire,Ukraine's Fight for Freedom,,,Série,2022-04-23,23,Abril,2022,Sábado,Documentário,2022-04-23,False
Cobra Kai,Temporada 2,Vai com tudo,,Série,2022-04-16,16,Abril,2022,Sábado,Ação,2022-04-16,False
Cobra Kai,Temporada 2,Momento da verdade,,Série,2022-04-16,16,Abril,2022,Sábado,Ação,2022-04-16,False
Cobra Kai,Temporada 2,Fogo e gelo,,Série,2022-04-16,16,Abril,2022,Sábado,Ação,2022-04-16,False
Cobra Kai,Temporada 2,Em busca do equilíbrio,,Série,2022-04-16,16,Abril,2022,Sábado,Ação,2022-04-16,False
Cobra Kai,Temporada 2,Compaixão – Parte 2,,Série,2022-04-16,16,Abril,2022,Sábado,Ação,2022-04-16,False
Cobra Kai,Temporada 1,Compaixão – Parte 1,,Série,2022-04-15,15,Abril,2022,Sexta-feira,Ação,2022-04-15,True
Cobra Kai,Temporada 1,"Diferentes, mas iguais",,Série,2022-04-15,15,Abril,2022,Sexta-feira,Ação,2022-04-15,True
